metric,mean,std,min,max
mAP_iou0.5_conf0.3,0.6121879252614022,0.019391115664566548,0.5947396051686826,0.643255772158676
F1_iou0.5_conf0.3,0.7123565076261897,0.007480590316744339,0.6961166128852788,0.7244164177453258
mAP_iou0.75_conf0.3,0.24135913051719723,0.030556826379056445,0.1938732077556422,0.28945462528575083
F1_iou0.75_conf0.3,0.3256103624944587,0.01828976326130044,0.2988761544453099,0.3540214625511671
mAP_iou0.5_conf0.5,0.6032802914673496,0.01963166138433295,0.5626548548137302,0.6416106264096925
F1_iou0.5_conf0.5,0.7185037815460668,0.007556187204321459,0.7048357664233578,0.7306690818521453
mAP_iou0.75_conf0.5,0.24135913051719723,0.030556826379056445,0.1938732077556422,0.28945462528575083
F1_iou0.75_conf0.5,0.33041694154679474,0.019336903010127554,0.302691605839416,0.3600135854183176
mAP_iou0.5_conf0.7,0.5762767209798899,0.018870978973038643,0.5598618291661264,0.6052170354635094
F1_iou0.5_conf0.7,0.7170998744329413,0.008184986866417773,0.7043935052531041,0.7303358250585742
mAP_iou0.75_conf0.7,0.23800126992886037,0.026984574975672266,0.1938732077556422,0.28945462528575083
F1_iou0.75_conf0.7,0.3360659834101567,0.0207517582229629,0.3061127029608405,0.3669811320754717
total_unripe,1646.1666666666667,134.82571053854016,1446.0,1867.0
total_ripe,3193.5,163.56726445105085,2837.0,3567.0
detected_unripe,1172.8333333333333,69.45842081578174,1040.0,1318.0
detected_ripe,3027.5833333333335,139.3864282808369,2793.0,3236.0
detection_rate_unripe,0.714445301360895,0.034841287630487425,0.6705945366898768,0.7967698519515478
detection_rate_ripe,0.948661362493216,0.026827679857247575,0.9072049341183067,0.9935503685503686
fold,6.5,3.452052529534663,1.0,12.0
n_images,55.833333333333336,0.37267799624996495,55.0,56.0
evaluation_time,16.49284001191457,0.6855770888800872,15.69480276107788,18.01246213912964
