metric,mean,std,min,max
mAP_iou0.5_conf0.3,0.607038764455605,0.01725843849264019,0.5963872596467492,0.6414217680313861
F1_iou0.5_conf0.3,0.7123534809340751,0.007020993114655406,0.704484892281288,0.723390922925432
mAP_iou0.75_conf0.3,0.24080392601413858,0.010811893977089688,0.2294953980796408,0.2556368416264074
F1_iou0.75_conf0.3,0.3254178114500963,0.01388694546731686,0.30895351499885504,0.34207764952780695
mAP_iou0.5_conf0.5,0.607038764455605,0.01725843849264019,0.5963872596467492,0.6414217680313861
F1_iou0.5_conf0.5,0.7184788308112272,0.006731905390548203,0.7105129741438908,0.7284350883601991
mAP_iou0.75_conf0.5,0.24080392601413858,0.010811893977089688,0.2294953980796408,0.2556368416264074
F1_iou0.75_conf0.5,0.33018625309747734,0.014045236482870723,0.3136610996434603,0.34735947770871534
mAP_iou0.5_conf0.7,0.5639022281593153,0.0022734349095453223,0.5614177355902066,0.5677023805666513
F1_iou0.5_conf0.7,0.7170665991859047,0.006469727342720238,0.7092219020172911,0.7259942034494228
mAP_iou0.75_conf0.7,0.2353611407111363,0.01658087348895214,0.21609712227123148,0.2556368416264074
F1_iou0.75_conf0.7,0.3357923427049462,0.014656056199920465,0.3186161611211839,0.35349010824934674
total_unripe,3950.8,222.21017078432752,3684.0,4296.0
total_ripe,7664.4,243.0831956347456,7221.0,7962.0
detected_unripe,2814.8,106.71344807473892,2688.0,2997.0
detected_ripe,7266.2,288.16342585414964,6802.0,7663.0
detection_rate_unripe,0.7132145010579263,0.014113112340224561,0.6976256983240223,0.7296416938110749
detection_rate_ripe,0.9479958834594402,0.020462154086510007,0.9317619481703346,0.9878819131107387
fold,3.0,1.4142135623730951,1.0,5.0
n_images,134.0,0.0,134.0,134.0
evaluation_time,24.961872625350953,0.37409058419917013,24.360763788223267,25.46764302253723
